ZIP;NAME;TYPE;A0_NAME;A1_NAME;A2_NAME;A3_NAME;A4_NAME;A5_NAME;A6_NAME;A7_NAME;A8_NAME;X_COORDINATE;Y_COORDINATE;SERVICE_HOURS;TEMP_SERVICE_HOURS;TEMP_SERVICE_HOURS_UNTIL;TEMP_SERVICE_HOURS_2;TEMP_SERVICE_HOURS_2_UNTIL;comment_est;comment_eng;comment_rus;comment_lav;comment_lit;MODIFIED
96331;"1. eelistus/Picapac pakiautomaat";0;EE;;"1. eelistus Omnivas";;;"1. eelistus Omnivas";;;;24.793373;59.430318;;;;;;;;;;;2023-09-12T10:18:52.167+03:00
96243;"Abja Coop Konsumi pakiautomaat";0;EE;"Viljandi maakond";"Mulgi vald";"Abja-Paluoja linn";;"Pärnu mnt";;13;;25.355809;58.125803;;;;;;;;;;;2025-01-08T12:04:56.990+02:00
69494;"Abja-Paluoja postipunkt";1;EE;"Viljandi maakond";"Mulgi vald";"Abja-Paluoja linn";;"Pärnu mnt";;21;;25.353927;58.126151;"E,T,K,N,R 09:00-17:00 L,P SULETUD";;;;;;;;;;2025-03-25T08:39:03.727+02:00
96280;"Aegviidu Meie kaupluse pakiautomaat";0;EE;"Harju maakond";"Anija vald";"Aegviidu alev";;"Piibe mnt";;8;;25.606367;59.288383;;;;;;;;;;;2025-01-08T10:51:45.203+02:00
9595;"Aglonas TOP pakomāts";0;LV;"Preiļu novads";"Aglonas pagasts";Aglona;;"Somersētas iela";;33;;27.007230;56.131607;;;;;;;;;"Pa labi no ieejas";;2024-03-26T14:51:43.103+02:00
96389;"Ahtme Estonia pst Grossi pakiautomaat";0;EE;"Ida-Viru maakond";"Kohtla-Järve linn";"Ahtme linnaosa";;"Estonia pst";;30a;;27.426280;59.329987;;;;;;;;;;;2025-01-09T16:23:24.327+02:00
96142;"Ahtme Maleva Grossi pakiautomaat";0;EE;"Ida-Viru maakond";"Kohtla-Järve linn";"Ahtme linnaosa";;"Maleva tn";;23;;27.420557;59.327631;;;;;;;;;;;2025-03-05T08:16:30.967+02:00
96123;"Ahtme Maxima XX pakiautomaat";0;EE;"Ida-Viru maakond";"Kohtla-Järve linn";"Ahtme linnaosa";;"Puru tee";;77;;27.420083;59.337433;;;;;;;;;;;2025-01-17T13:48:47.187+02:00
9950;"Aizkraukles T/C Iga pakomāts";0;LV;"Aizkraukles novads";Aizkraukle;;;"Gaismas iela";;35;;25.259443;56.610272;;;;;;;;;"Pa labi no T/C ieejas";;2024-06-26T14:48:10.873+03:00
9266;"Aizkraukles TOP pakomāts";0;LV;"Aizkraukles novads";Aizkraukle;;;"Lāčplēša iela";;7;;25.256664;56.601647;;;;;;;;;"Pa kreisi no ieejas";;2024-06-25T10:12:04.733+03:00
9980;"Aizputes Zvaigžņu ielas AIBE pakomāts";0;LV;"Dienvidkurzemes novads";Aizpute;;;"Zvaigžņu iela";;2B;;21.606437;56.720308;;;;;;;;;"Pie otrās T/C ieejas";;2025-01-09T09:09:09.053+02:00
55583;"Akmenės NORFA Daukanto paštomatas";0;LT;"Šiaulių apskr.";"Akmenės r. sav.";"Akmenės m.";;"S. Daukanto g.";;7;;22.752311;56.243503;;;;;;;;;;"Paštomatą rasite lauke prie sienos, kairėje įėjimo į parduotuvę pusėje";2023-12-29T09:18:34.160+02:00
9183;"Aknīstes VESKO pakomāts";0;LV;"Jēkabpils novads";Aknīste;;;"Skolas iela";;7;;25.740703;56.161981;;;;;;;;;"Pa labi no ieejas";;2024-06-21T12:37:39.527+03:00
96401;"Ala Coop kaupluse pakiautomaat";0;EE;"Valga maakond";"Tõrva vald";"Ala küla";;;"Ala kauplus";;;25.701641;58.009962;;;;;;;;;;;2025-01-10T13:31:21.567+02:00
96287;"Alatskivi Coop Konsumi pakiautomaat";0;EE;"Tartu maakond";"Peipsiääre vald";"Alatskivi alevik";;"Lossi tn";;1a;;27.132467;58.600633;;;;;;;;;;;2025-01-08T10:54:54.537+02:00
96367;"Alavere pakiautomaat";0;EE;"Harju maakond";"Anija vald";"Alavere küla";;"Oja tn";;1;;25.328394;59.245228;;;;;;;;;;;2025-01-09T16:16:06.767+02:00
9192;"Alojas Mini TOP pakomāts";0;LV;"Limbažu novads";Aloja;;;"Rīgas iela";;1B;;24.883114;57.766089;;;;;;;;;"Pa labi no ieejas";;2023-09-29T11:51:58.577+03:00
99023;"Alytaus CENTRO Naujoji g. paštomatas";0;LT;"Alytaus apskr.";"Alytaus m. sav.";"Alytaus m.";;"Naujoji g.";;2C;;24.035788;54.396415;;;;;;;;;;;2024-07-10T17:10:35.887+03:00
99924;"Alytaus IKI Jaunimo paštomatas";0;LT;"Alytaus apskr.";"Alytaus m. sav.";"Alytaus m.";;"Jaunimo g.";;24;;24.021972;54.391584;;;;;;;;;;;2024-01-02T08:41:10.717+02:00
55507;"Alytaus IKI Juozapavičiaus paštomatas";0;LT;"Alytaus apskr.";"Alytaus m. sav.";"Alytaus m.";;"A. Juozapavičiaus g.";;17;;24.059698;54.403477;;;;;;;;;;"Paštomatą rasite lauke prie šoninės sienos, dešinėje įėjimo į parduotuvę pusėje, už kampo";2025-01-24T08:43:08.290+02:00
99578;"Alytaus LIDL Jazminų paštomatas";0;LT;"Alytaus apskr.";"Alytaus m. sav.";"Alytaus m.";;"Jazminų g.";;32A;;24.022916;54.399581;;;;;;;;;;;2024-11-28T16:25:43.443+02:00
